"TRIP_ID","area_1","area_2","area_3","area_4","area_5","area_6","area_7","area_8","area_9","area_10","area_11","area_12","area_13","area_14","area_15"
1056,NA,NA,NA,NA,NA,632580,NA,NA,NA,260640,NA,NA,NA,NA,929640
1057,NA,NA,NA,NA,NA,1036560,NA,NA,NA,NA,NA,NA,NA,NA,1036560
1058,NA,NA,NA,NA,NA,779820,NA,NA,NA,NA,NA,NA,NA,NA,779820
1059,NA,NA,NA,NA,NA,118020,NA,NA,NA,NA,NA,NA,NA,NA,124620
1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62220
1068,NA,119820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258840
1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,597720,NA,NA,NA,NA,614040
1077,NA,NA,NA,93960,NA,NA,NA,NA,NA,863280,NA,NA,NA,NA,1817400
1078,NA,NA,NA,NA,NA,NA,NA,NA,NA,146760,NA,NA,NA,NA,266460
1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,720300,NA,NA,NA,NA,722760
1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,63240,NA,NA,NA,NA,63240
1081,NA,NA,NA,NA,NA,NA,NA,NA,NA,295920,NA,NA,NA,NA,295920
1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,125700,NA,NA,NA,NA,125700
1083,NA,NA,NA,NA,862740,NA,NA,NA,NA,24840,NA,NA,NA,NA,889980
1084,NA,NA,NA,NA,96660,NA,NA,NA,NA,NA,NA,NA,NA,NA,96660
1086,NA,NA,NA,NA,17820,NA,NA,NA,NA,NA,NA,NA,300,NA,19020
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,NA,18000
1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9180,NA,NA,NA,83460
1089,NA,41100,NA,NA,NA,NA,NA,16860,NA,NA,12300,156180,NA,NA,239880
1090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1818180,NA,NA,1818180
1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97680,NA,NA,97680
1093,NA,NA,113640,NA,NA,NA,NA,NA,NA,NA,NA,10440,NA,NA,130620
1094,NA,NA,144180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,778740
1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1817400
1096,NA,NA,124320,NA,37680,NA,NA,NA,NA,NA,NA,NA,NA,NA,348960
