TRIP_ID,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,MMSI,VESSEL_TYPE
1167,NA,NA,NA,NA,NA,77400,NA,NA,NA,NA,NA,NA,NA,NA,77400,273290500,Factory Trawler
1168,NA,NA,NA,NA,NA,79020,NA,NA,NA,NA,NA,NA,NA,NA,79020,273290500,Factory Trawler
1169,NA,NA,NA,NA,NA,68940,NA,NA,NA,NA,NA,NA,NA,NA,68940,273290500,Factory Trawler
1170,NA,NA,NA,NA,NA,8820,NA,NA,NA,NA,NA,NA,NA,NA,8820,273290500,Factory Trawler
1171,NA,NA,NA,NA,NA,91800,NA,NA,NA,NA,NA,NA,NA,NA,91800,273290500,Factory Trawler
1172,NA,NA,NA,NA,NA,7740,NA,NA,NA,NA,NA,NA,NA,NA,7740,273290500,Factory Trawler
1173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6900,273345950,Factory Trawler
1174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135300,273345950,Factory Trawler
1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40380,273345950,Factory Trawler
1176,NA,NA,NA,NA,NA,NA,NA,NA,NA,152340,NA,NA,NA,NA,154920,273353290,Suction Dredger
1178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18e3,273522400,Factory Trawler
