TRIP_ID	MMSI	VESSEL_TYPE	duration_total	duration_segment	speed_avg	speed_max	speed_upperquartile	distance_total	distance_segment	time_diff_avg	hour_min	hour_max	day_min	day_max	area_1	area_2	area_3	area_4	area_5	area_6	area_7	area_8	area_9	area_10	area_11	area_12	area_13	area_14	area_15	area_1_p	area_2_p	area_3_p	area_4_p	area_5_p	area_6_p	area_7_p	area_8_p	area_9_p	area_10_p	area_11_p	area_12_p	area_13_p	area_14_p	area_15_p	Night	Morning	Afternoon	Evening	In-week	Weekend	speed_avg_out
17.0	205864510	Pleasure Craft	16560.0	1380.0	0.00127590453267993	0.0027632467571737872	0.0020339325959405304	20.947238391896427	1.7456031993247023	1380.0	9	13	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16560.0	0.0	16560.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18.0	205864510	Pleasure Craft	17640.0	1470.0	0.001508216902759633	0.00540627575772273	0.0026527618483659543	25.813852632268237	2.1511543860223528	1470.0	14	19	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17640.0	0.0	17640.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20.0	205864510	Pleasure Craft	60480.0	1475.121951219512	0.0011826107851331208	0.0028342093242851025	0.0020608850650546827	70.63766674458768	1.7228699205996993	1475.121951219512	0	23	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60480.0	0.0	60480.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22.0	207337000	Pleasure Craft	24e3	324.3243243243243	1.9546381645754785	3.1603563987411856	2.777253390193415	24389.986707017993	329.5944149597026	324.3243243243243	8	14	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13140.0	0.0	14220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5475	0.0	0.5925	0.0	0.062	0.938	0.0	0.0	1.0	2.166868056686815
23.0	209098000	Container Ship	102300.0	881.8965517241379	1.8331668919047652	8.533929527899328	7.197123800357998	38709.41138999988	333.70182232758515	881.8965517241379	0	23	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.950733137829912	0.0	0.0	0.6	0.4	0.0	1.0	6.477919084769303
24.0	209098000	Container Ship	113520.0	709.5	1.4938312935947737	9.666337026578033	5.4136869263773955	42440.772074651075	265.25482546656923	709.5	0	23	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107760.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9492600422832981	0.0	0.0	0.458	0.542	0.0	1.0	5.789988848568996
25.0	209283000	Container Ship	45600.0	651.4285714285714	2.5960408941051725	9.251727845274765	6.850424973863199	31956.461023076758	456.5208717582394	651.4285714285714	2	14	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40860.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8960526315789473	0.59	0.0	0.41	0.0	1.0	0.0	5.251808102491341
26.0	209283000	Container Ship	84720.0	838.8118811881188	1.8037042355154065	7.906826086403363	6.911451287771552	32110.964623904893	317.9303428109395	838.8118811881188	0	23	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80700.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9525495750708215	0.0	0.0	0.429	0.571	1.0	0.0	6.354126908346031
27.0	209283000	Container Ship	50160.0	687.1232876712329	2.5428779877687107	9.028764046202177	6.973482043913905	33295.06012834792	456.09671408695783	687.1232876712329	4	18	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45360.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9043062200956937	0.583	0.0	0.167	0.25	1.0	0.0	5.854162172917369
28.0	209283000	Container Ship	60480.0	672.0	1.9667214225831142	9.363358967851457	6.9202151141504	31474.20447684747	349.713383076083	672.0	0	23	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9117063492063492	0.0	0.0	0.359	0.641	1.0	0.0	4.545652642636181
