imo,MMSI,ais.type,call.Sign,flag,gross.tonnage,deadweight,length,width,image.src,ship.type,name,vessel.type
NA,412209151,Fishing,YYYY,China [CN],NA,NA,50,6,http://www.marinetraffic.com/img/no_photo.png,Fishing,BO YUANYU 5,Fishing Vessel
NA,235053421,Military Ops,-,United Kingdom [GB],NA,NA,NA,NA,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=629023&size=,Military Ops,COALITION WARSHIP,Military Ops
9359923,357644000,Tanker,3EPA7,Panama [PA],11487,17000,151,75,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1738009&size=,Oil/Chemical Tanker,CARIBBEAN ALLIANCE,Tanker
9599389,538005370,Cargo,V7DD5,Marshall Is [MH],32987,57000,188,64,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1467255&size=,Bulk Carrier,LMZ PHOEBE,Bulk Carrier
9338137,235101908,Cargo,2GZW8,United Kingdom [GB],20236,32354,177,28,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=30371&size=,General Cargo,REUNION BAY,General Cargo
7903029,370264000,Cargo,3FNF3,Panama [PA],6398,3280,105,54,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=71561&size=,Livestock Carrier,NEAMEH,Livestock Carrier
9605786,215654000,Cargo,9HA2776,Malta [MT],61106,22585,199,99,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1006588&size=,Vehicles Carrier,TONGALA,Vehicles Carrier
9454412,228345800,Cargo - Hazard A (Major),FLTH,France [FR],152991,165422,365,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=377050&size=,Container Ship,CMA CGM LAPEROUSE,Container Ship
8509557,341307000,Other,V4OQ2,St Kitts Nevis,7395,6232,123,20,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=640000&size=,Reefer,NOVIY SVET,Reefer
9501708,245825000,Cargo,PBNK,Netherlands [NL],2876,4200,89,9,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=68105&size=,General Cargo,ABIS ALBUFEIRA,General Cargo
8743830,352459000,Unspecified,HO7324,Panama [PA],139,NA,31,59,http://www.marinetraffic.com/img/no_photo.png,Crew Boat,JERSEY,Crew Boat
9346677,245044000,Cargo,PHMJ,Netherlands [NL],2984,4891,89,95,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=310680&size=,General Cargo,DINTELDIJK,General Cargo
9607710,373594000,Tanker,3FKJ6,Panama [PA],62255,112147,250,44,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1001241&size=,Crude Oil Tanker,SEA STAR,Tanker
NA,234635000,Military Ops,WARSHIP,United Kingdom [GB],NA,NA,133,16,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=381510&size=,Military Ops,HMS SOMERSET,Military Ops
9285122,311829000,Cargo,C6TX8,Bahamas [BS],24109,37965,189,99,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=326997&size=,Bulk Carrier,MAZURY,Bulk Carrier
9619828,242125100,Tug,CNA4614,Morocco [MA],197,110,26,09,http://www.marinetraffic.com/img/no_photo.png,Tug,JACQUES,Tug
9021083,357468000,Cargo,3FQM4,Panama [PA],1574,2090,81,11,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1456484&size=,General Cargo,TEMPO,General Cargo
8820274,242144100,Fishing,CNA4723,Morocco [MA],710,700,42,10,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=702401&size=,Trawler,POLAR,Trawler
9512587,566758000,Cargo,9V7733,Singapore [SG],11251,17157,129,9,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1196070&size=,Cement Carrier,ANTIGUA,Cement Carrier
9626912,373473000,Cargo,3EWA8,Panama [PA],33057,56521,189,99,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=998555&size=,Bulk Carrier,AMS PEGASUS III,Bulk Carrier
9369643,566021000,Tug,9V9309,Singapore [SG],1677,1359,59,25,http://www.marinetraffic.com/img/no_photo.png,Multi Purpose Offshore Vessel,GRETA K,Multi Purpose Offshore Vessel
9240249,304201000,Cargo,V2OS6,Antigua Barbuda [AG],2995,4267,90,33,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=97078&size=,General Cargo,PEX,General Cargo
9293612,232248000,Cargo,MHBK6,United Kingdom [GB],61321,14512,199,99,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=58611&size=,Vehicles Carrier,TORRENS,Vehicles Carrier
8835217,368946000,Passenger,WCAH,USA [US],12542,6864,142,04,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=227647&size=,Sailing Vessel,STATE OF MAINE,Pleasure Craft
9387918,477547200,Tanker,VRFI5,Hong Kong [HK],29733,51476,183,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=133469&size=,Chemical Tanker,ADRIATIC WAVE,Tanker
